latitude,index
-13.667684,0
-17.2085636,1
-17.5021897,2
-17.5685741,3
-19.4968715,4
-20.6215822,5
-22.20958,6
-24.0646861,7
-24.7219603,8
-26.4086731,9
-26.7607104,10
-26.8778151,11
-28.1157473,12
-28.1187757,13
-28.1198514,14
-28.1221605,15
-28.1283389,16
-28.1329082,17
-28.1366659,18
-28.1427703,19
-28.1503099,20
-28.1568628,21
-28.1668725,22
-28.1746724,23
-28.1836322,24
-28.1929282,25
-28.2008759,26
-28.2059661,27
-28.2134762,28
-28.2172561,29
-28.2206633,30
-28.2251155,31
-28.2265197,32
-28.2321791,33
-28.2416921,34
-28.249213,35
-28.2585525,36
-28.2660579,37
-28.2756967,38
-28.285578,39
-28.2866807,40
-28.2871103,41
-28.2872535,42
-28.2945707,43
-28.3043501,44
-28.3117091,45
-28.3194112,46
-28.3276566,47
-28.3353289,48
-28.3385637,49
-28.3431581,50
-28.3495556,51
-28.3552371,52
-28.3628072,53
-28.3713069,54
-28.3732385,55
-28.3736391,56
-28.3740541,57
-28.3745692,58
-28.3829391,59
-28.3890199,60
-28.3959434,61
-28.4286236,62
-28.4329082,63
-28.5034126,64
-28.5626412,65
-28.674671,66
-28.7350963,67
-28.7901172,68
-28.8033441,69
-28.8451091,70
-28.8778286,71
-28.8889508,72
-28.9811481,73
-29.0163139,74
-29.0817781,75
-29.1225481,76
-29.1453011,77
-29.1636976,78
-29.16706,79
-29.1892099,80
-29.2033477,81
-29.2092791,82
-29.2239083,83
-29.2312221,84
-29.2782554,85
-29.3289203,86
-29.3528857,87
-29.3790667,88
-29.3865667,89
-29.3936114,90
-29.4138732,91
-29.4238935,92
-29.450878,93
-29.4656969,94
-29.492733,95
-29.4994266,96
-29.5212205,97
-29.5250811,98
-29.5779141,99
-29.6511998,100
-29.7254595,101
-29.7869157,102
-29.797611,103
-29.8438783,104
-29.8758998,105
-29.8976122,106
-29.9267726,107
-30.0033587,108
-30.0522535,109
-30.0981572,110
